name,latitude,longitude
動物園,24.9982722,121.579517
木柵,24.99824,121.573145
萬芳社區,24.998585,121.568102
萬芳醫院,24.9994093,121.5580505
辛亥,25.0055191,121.5570925
麟光,25.01851,121.5588237
六張犁,25.0238086,121.5531523
科技大樓,25.0260787,121.5434607
大安,25.0332003,121.5435299
忠孝復興,25.0416216,121.5437808
南京復興,25.0520785,121.544009
中山國中,25.06078,121.5442076
松山機場,25.0633862,121.551738
大直,25.0798837,121.5471493
劍南路,25.084863,121.5555961
西湖,25.0821512,121.5672853
港墘,25.0800546,121.5752003
文德,25.0785513,121.5849503
內湖,25.0835589,121.5942486
大湖公園,25.0837953,121.6022065
葫洲,25.0724174,121.6078852
東湖,25.0671748,121.6116127
南港軟體園區,25.0600781,121.6159153
南港展覽館,25.0548748,121.6168358
象山,25.0328146,121.5700821
台北101/世貿,25.0330304,121.5627598
信義安和,25.0332705,121.5529574
大安森林公園,25.0335283,121.5353131
東門,25.0338762,121.5287139
中正紀念堂,25.0326494,121.5183115
台大醫院,25.0412666,121.5166385
台北車站,25.04625,121.51753
中山,25.052685,121.520391
雙連,25.0577788,121.5206671
民權西路,25.0628632,121.5197213
圓山,25.07135,121.52012
劍潭,25.0842798,121.5249762
士林,25.093456,121.526214
芝山,25.1029453,121.5225201
明德,25.1098383,121.5187479
石牌,25.1144046,121.515609
唭哩岸,25.1208333,121.5061653
奇岩,25.1255353,121.5011094
北投,25.1317795,121.4986418
新北投,25.1369406,121.5022901
復興崗,25.1376416,121.4854037
忠義,25.1309308,121.473322
關渡,25.12563,121.4671
竹圍,25.1369143,121.4595256
紅樹林,25.1550093,121.4589185
淡水,25.167714,121.4456756
新店,24.95784,121.53758
新店區公所,24.9678581,121.5415249
七張,24.97517,121.54294
小碧潭,24.9717316,121.5307062
大坪林,24.982899,121.541351
景美,24.9928277,121.5408272
萬隆,25.001684,121.5390875
公館,25.01491,121.53422
台電大樓,25.0202411,121.5290642
古亭,25.0265508,121.5228141
小南門,25.0356186,121.5108002
西門,25.0421884,121.5082995
北門,25.049285,121.510278
松江南京,25.0519821,121.5330819
台北小巨蛋,25.051668,121.551879
南京三民,25.051429,121.563858
松山,25.0633862,121.551738
南勢角,24.9901276,121.5091044
景安,24.9938269,121.5048261
永安市場,25.0023452,121.5111088
頂溪,25.01382,121.51551
忠孝新生,25.04236,121.5329
行天宮,25.05972,121.53318
中山國小,25.0627123,121.5264705
大橋頭,25.0630769,121.5135995
台北橋,25.06318,121.50044
菜寮,25.05981,121.49146
三重,25.0548073,121.4827149
先嗇宮,25.0462488,121.4714928
頭前庄,25.0398423,121.4605244
新莊,25.0361555,121.45255
輔大,25.0329026,121.4352511
丹鳳,25.0288568,121.4224593
迴龍,25.0219364,121.4116256
三重國小,25.0706729,121.4967621
三和國中,25.0767991,121.486462
徐匯中學,25.080757,121.479187
三民高中,25.0855718,121.4735054
蘆洲,25.0917337,121.4645412
頂埔,24.9594071,121.4197519
永寧,24.96673,121.43607
土城,24.9731415,121.4442503
海山,24.9853715,121.4487807
亞東醫院,24.9984977,121.4525477
府中,25.0085455,121.4594333
板橋,25.0138225,121.4624431
新埔,25.0237622,121.4684043
江子翠,25.030525,121.472625
龍山寺,25.0351014,121.4998019
善導寺,25.0448491,121.5233604
忠孝敦化,25.0413698,121.5504928
國父紀念館,25.0413783,121.5575216
市政府,25.0412366,121.5665591
永春,25.0408274,121.5763155
後山埤,25.04505,121.58252
昆陽,25.0504904,121.5932272
南港,25.0548748,121.6168358
十四張,24.9844,121.52768
秀朗橋,24.9902926,121.5250153
景平,24.992109,121.5163861
中和,24.9903508,121.4912768
橋和,25.004682,121.490051
中原,25.0084444,121.4843081
板新,25.0144227,121.4722693
新埔民生,25.0262809,121.4668305
幸福,25.04998,121.45998
新北產業園區,25.0613188,121.459741
